Resultattype;Sted;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;D.  Nye Borgerlige;E. Klaus Riskær Pedersen;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;K. Kristendemokraterne;O. Dansk Folkeparti;P. Stram Kurs;V. Venstre, Danmarks Liberale Parti;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Uden for partierne;Gyldige stemmer;Ugyldige stemmer;Stemmer i alt;Stemmeberettigede;
Afstemningsområde;Rønbjerg;146;20;32;10;2;28;5;15;45;17;170;14;4;0;508;9;517;616;
Afstemningsområde;Hem;200;22;28;12;4;36;14;11;50;10;233;14;2;0;636;4;640;741;
Afstemningsområde;Lihme;151;30;26;6;2;43;5;11;27;7;141;15;0;0;464;3;467;545;
Afstemningsområde;Oddense - Otting;178;30;26;4;2;23;9;8;50;12;217;14;3;0;576;1;577;673;
Afstemningsområde;Rødding;272;46;32;14;3;57;14;18;84;21;309;25;7;0;902;18;920;1073;
Afstemningsområde;Glyngøre;356;55;98;23;5;57;18;18;100;25;427;34;6;0;1222;20;1242;1507;
Afstemningsområde;Durup;244;43;56;19;3;32;5;21;98;24;313;23;12;0;893;9;902;1100;
Afstemningsområde;Roslev;430;75;58;16;9;66;16;21;116;16;553;27;19;0;1422;8;1430;1700;
Afstemningsområde;Jebjerg-Lyby;331;57;44;19;4;44;12;17;87;14;359;33;14;0;1035;12;1047;1268;
Afstemningsområde;Balling;361;48;45;17;7;66;9;11;65;25;408;22;5;0;1089;9;1098;1311;
Afstemningsområde;Breum;320;65;69;21;8;71;18;18;84;17;470;38;16;0;1215;11;1226;1386;
Afstemningsområde;Håsum-Ramsing;167;15;23;13;4;19;7;3;43;9;174;13;4;0;494;1;495;570;
Afstemningsområde;Selde;240;51;41;9;8;43;15;17;82;31;295;32;3;0;867;6;873;1049;
Afstemningsområde;Lem-Vejby;174;35;27;12;6;29;6;3;42;13;184;18;6;0;555;8;563;688;
Afstemningsområde;Fur;121;38;28;11;4;43;11;33;45;4;199;22;6;0;565;8;573;642;
Afstemningsområde;Thisted By;2264;235;326;84;42;287;98;136;430;81;1457;256;87;0;5783;55;5838;7052;
Afstemningsområde;Harring-Stagstrup;293;18;40;11;4;26;6;36;96;8;199;11;4;0;752;5;757;887;
Afstemningsområde;Hillerslev-Kåstrup;163;18;34;3;2;13;7;22;68;9;231;25;8;0;603;6;609;721;
Afstemningsområde;Hundborg-Jannerup;161;26;17;11;4;28;8;18;75;12;151;38;11;0;560;6;566;685;
Afstemningsområde;Vorupør;155;23;32;15;0;10;4;4;79;8;103;13;5;0;451;2;453;517;
Afstemningsområde;Nors-Tved;308;26;52;22;5;19;35;27;107;11;364;19;12;0;1007;6;1013;1176;
Afstemningsområde;Sennels;284;32;62;10;3;32;20;4;57;9;295;10;12;0;830;3;833;959;
Afstemningsområde;Sjørring-Thorsted;329;38;50;9;2;30;12;12;77;7;299;24;18;0;907;6;913;1059;
Afstemningsområde;Skjoldborg-Kallerup;98;13;27;4;2;12;6;20;42;13;147;11;3;0;398;4;402;453;
Afstemningsområde;Snedsted-Nørhå;423;31;136;29;9;48;10;19;199;10;273;49;22;0;1258;9;1267;1480;
Afstemningsområde;Sønderhå-Hørsted;71;10;15;6;2;16;2;7;33;4;78;4;3;0;251;3;254;290;
Afstemningsområde;Thisted Landsogn;987;113;197;49;20;113;40;66;216;23;741;116;50;0;2731;23;2754;3144;
Afstemningsområde;Vang-Tvorup;63;13;20;4;4;14;2;13;36;2;56;20;9;0;256;3;259;305;
Afstemningsområde;Skinnerup, V Og Ø Vandet;95;11;22;7;3;15;11;17;34;5;164;16;10;0;410;4;414;446;
Afstemningsområde;Øsløs, Vesløs Og Arup;240;13;34;13;4;37;8;17;97;5;182;45;18;0;713;4;717;857;
Afstemningsområde;Østerild, Hunstrup;240;12;32;4;3;18;3;7;67;11;242;16;5;0;660;1;661;798;
Afstemningsområde;Hanstholm;341;28;80;25;6;26;12;12;148;30;401;26;11;0;1146;16;1162;1473;
Afstemningsområde;Ræhr/Vigsø;157;15;23;9;4;9;4;3;66;7;210;17;8;0;532;3;535;684;
Afstemningsområde;Klitmøller;171;72;34;4;8;52;11;10;42;8;139;50;60;0;661;4;665;760;
Afstemningsområde;Frøstrup;283;17;23;12;5;30;9;11;48;8;185;62;22;0;715;6;721;847;
Afstemningsområde;Lild;67;5;5;6;2;14;4;4;17;0;47;22;4;0;197;0;197;224;
Afstemningsområde;Bedsted;389;40;61;15;13;48;16;34;156;36;391;42;23;0;1264;9;1273;1549;
Afstemningsområde;Hurup;792;74;150;23;10;54;24;58;229;29;631;41;11;0;2126;13;2139;2574;
Afstemningsområde;Koldby;363;28;91;27;9;35;17;21;137;12;294;41;21;0;1096;7;1103;1333;
Afstemningsområde;Vestervig;334;37;80;12;8;35;14;79;137;21;309;37;8;0;1111;8;1119;1314;
Afstemningsområde;Ydby;201;36;53;10;8;40;10;20;90;15;241;31;21;0;776;4;780;888;
Afstemningsområde;Frederiks;557;65;258;38;19;126;28;71;184;49;506;47;34;0;1982;27;2009;2434;
Afstemningsområde;Hald Ege;437;190;374;23;13;276;46;40;107;36;511;110;68;0;2231;19;2250;2513;
Afstemningsområde;Karup;606;62;243;49;20;114;23;53;230;61;592;67;22;0;2142;34;2176;2611;
Afstemningsområde;Løgstrup;565;106;375;35;10;148;34;52;174;28;686;67;44;0;2324;18;2342;2635;
Afstemningsområde;Mønsted;394;36;233;13;7;87;17;12;127;17;487;34;23;0;1487;14;1501;1762;
Afstemningsområde;Stoholm;562;78;256;36;12;132;27;39;190;32;698;45;22;0;2129;43;2172;2516;
