Resultattype;Sted;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;D.  Nye Borgerlige;E. Klaus Riskær Pedersen;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;K. Kristendemokraterne;O. Dansk Folkeparti;P. Stram Kurs;V. Venstre, Danmarks Liberale Parti;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Uden for partierne;Gyldige stemmer;Ugyldige stemmer;Stemmer i alt;Stemmeberettigede;
Afstemningsområde;Vridsted;343;45;139;24;7;75;22;27;172;26;481;31;22;0;1414;12;1426;1657;
Afstemningsområde;Viborg;4792;1103;3218;227;98;1775;408;280;1045;254;3347;867;449;0;17863;233;18096;22036;
Afstemningsområde;Bjerringbro Nord;1068;207;1076;72;29;241;64;154;345;50;988;134;73;0;4501;55;4556;5355;
Afstemningsområde;Bjerringbro Syd;413;59;456;34;5;87;31;42;194;33;355;42;28;0;1779;19;1798;2147;
Afstemningsområde;Hammershøj;317;59;161;31;9;76;29;23;162;22;481;55;28;0;1453;15;1468;1786;
Afstemningsområde;Møldrup;747;79;324;62;11;125;52;87;315;46;974;57;28;0;2907;23;2930;3506;
Afstemningsområde;Overlund;2131;578;1645;58;35;731;178;217;411;79;1870;268;126;0;8327;96;8423;9554;
Afstemningsområde;Rødding;531;82;303;30;6;166;51;72;189;28;657;71;59;0;2245;29;2274;2647;
Afstemningsområde;Rødkærsbro;488;55;308;55;14;129;30;114;212;39;492;62;27;0;2025;11;2036;2371;
Afstemningsområde;Skals;577;77;300;30;24;155;47;43;205;27;818;53;47;0;2403;16;2419;2803;
Afstemningsområde;Ørum;455;88;271;34;7;138;61;75;207;29;562;66;31;0;2024;19;2043;2384;
Afstemningsområde;Agersted;166;12;17;14;4;19;7;7;78;19;130;27;10;0;510;6;516;640;
Afstemningsområde;Asaa;445;29;27;26;10;50;7;9;148;38;262;49;15;0;1115;3;1118;1401;
Afstemningsområde;Dronninglund;1074;184;136;40;28;155;34;63;330;52;911;103;45;0;3155;32;3187;3835;
Afstemningsområde;Flauenskjold;251;25;32;27;8;30;7;12;129;14;246;21;16;0;818;11;829;1004;
Afstemningsområde;Hjallerup;1047;121;108;41;21;144;57;26;288;41;923;64;32;0;2913;36;2949;3426;
Afstemningsområde;Klokkerholm;388;51;39;32;20;49;18;21;148;33;382;47;25;0;1253;15;1268;1477;
Afstemningsområde;Brønderslev;3089;306;431;127;68;400;156;119;796;108;2039;243;112;0;7994;79;8073;9642;
Afstemningsområde;Stenum;143;8;24;6;2;17;8;12;58;7;127;19;3;0;434;3;437;491;
Afstemningsområde;Thise;235;28;35;22;12;23;13;19;105;15;229;20;11;0;767;12;779;915;
Afstemningsområde;Ø. Brønderslev;341;22;62;23;12;65;35;12;81;15;289;22;11;0;990;6;996;1187;
Afstemningsområde;Hallund;135;13;23;7;4;10;4;8;46;18;128;18;6;0;420;1;421;500;
Afstemningsområde;Jerslev;395;40;94;47;9;60;23;24;193;51;419;64;18;0;1437;20;1457;1813;
Afstemningsområde;Serritslev;201;11;19;19;3;19;9;15;64;8;169;20;4;0;561;6;567;643;
Afstemningsområde;Skagen;1903;138;280;136;35;150;41;48;548;107;1243;153;52;0;4834;57;4891;6139;
Afstemningsområde;Hulsig;25;3;7;1;0;4;1;1;15;1;32;9;1;0;100;4;104;129;
Afstemningsområde;Ålbæk;398;25;131;23;11;44;9;15;168;20;305;58;8;0;1215;18;1233;1464;
Afstemningsområde;Jerup;223;14;18;40;2;21;3;6;99;15;142;25;7;0;615;7;622;731;
Afstemningsområde;Elling;425;19;39;38;8;38;10;19;161;24;267;24;8;0;1080;7;1087;1276;
Afstemningsområde;Strandby;480;39;82;26;7;59;17;166;229;27;402;23;20;0;1577;16;1593;1925;
Afstemningsområde;Frederikshavn Nord;1808;92;167;105;31;172;50;30;509;76;775;118;35;0;3968;33;4001;4873;
Afstemningsområde;Frederikshavn Midt;2395;177;227;168;54;295;68;50;670;171;1163;254;81;0;5773;108;5881;7717;
Afstemningsområde;Frederikshavn Syd;1870;139;227;153;42;161;67;52;468;106;1073;122;66;0;4546;47;4593;5548;
Afstemningsområde;Ravnshøj;409;36;46;18;5;44;10;25;153;23;358;31;20;0;1178;9;1187;1430;
Afstemningsområde;Gærum;403;42;76;41;13;48;21;19;146;29;435;34;17;0;1324;6;1330;1501;
Afstemningsområde;Sæby;2288;201;288;122;41;229;81;99;629;83;1721;166;76;0;6024;98;6122;7244;
Afstemningsområde;Brønden;78;8;10;6;4;15;5;9;28;4;95;19;7;0;288;10;298;355;
Afstemningsområde;Dybvad;212;24;17;18;2;19;10;8;92;12;194;21;9;0;638;12;650;832;
Afstemningsområde;Hørby;177;21;14;13;2;20;8;19;56;13;138;16;8;0;505;9;514;621;
Afstemningsområde;Præstbro;109;11;14;12;1;8;3;9;35;9;75;15;0;0;301;1;302;367;
Afstemningsområde;Thorshøj;165;11;8;23;3;8;9;13;79;9;126;11;4;0;469;7;476;589;
Afstemningsområde;Understed;116;10;5;16;3;12;7;1;52;14;120;20;0;0;376;3;379;429;
Afstemningsområde;Voerså;155;10;11;16;5;13;7;8;89;18;137;23;8;0;500;0;500;623;
Afstemningsområde;Volstrup;146;6;15;13;5;18;4;5;60;9;119;13;2;0;415;2;417;522;
Afstemningsområde;Østervrå;332;27;35;15;5;37;18;49;179;15;388;16;11;0;1127;7;1134;1407;
Afstemningsområde;Lyngså;151;12;17;14;5;10;5;10;48;9;131;10;2;0;424;3;427;495;
Afstemningsområde;Aalestrup;687;68;125;71;33;99;23;47;295;56;754;44;18;0;2320;22;2342;2971;
Afstemningsområde;Farsø;772;68;163;66;9;145;36;73;390;58;948;55;19;0;2802;24;2826;3514;
Afstemningsområde;Strandby;119;22;34;19;4;36;5;12;64;9;150;24;1;0;499;8;507;608;
Afstemningsområde;Aars;1698;239;520;117;40;326;85;64;637;86;1828;106;46;0;5792;37;5829;7003;
Afstemningsområde;Hvalpsund;292;40;67;20;5;52;9;20;121;19;325;46;18;0;1034;15;1049;1308;
Afstemningsområde;Gislum-Vognsild;185;26;35;25;6;39;8;9;73;26;237;13;9;0;691;4;695;839;
Afstemningsområde;Gedsted;317;34;62;33;8;73;8;18;148;21;339;32;11;0;1104;13;1117;1381;
Afstemningsområde;Hornum-Ulstrup;270;29;67;22;10;61;10;12;126;32;356;18;10;0;1023;13;1036;1313;
Afstemningsområde;Vester Hornum;158;18;43;22;6;52;2;15;83;16;210;27;6;0;658;7;665;820;
Afstemningsområde;Løgstør;955;78;95;47;14;402;28;28;297;49;1011;62;34;0;3100;24;3124;3889;
Afstemningsområde;Ranum;236;41;23;35;8;189;5;9;113;19;277;60;20;0;1035;17;1052;1344;
Afstemningsområde;Salling;178;20;25;24;4;77;7;15;90;12;308;22;9;0;791;6;797;1009;
Afstemningsområde;Overlade;130;18;17;17;8;48;5;7;65;20;249;16;6;0;606;1;607;753;
Afstemningsområde;Skivum-Giver;147;24;24;14;1;29;12;7;76;8;164;20;7;0;533;10;543;651;
Afstemningsområde;Læsø;353;36;77;19;9;45;10;25;228;18;316;70;15;0;1221;8;1229;1494;
Afstemningsområde;Støvring;1824;377;337;106;39;276;155;68;497;50;2008;135;75;0;5947;44;5991;6705;
Afstemningsområde;Skørping;806;338;145;40;17;279;42;28;137;25;614;215;145;0;2831;18;2849;3157;
Afstemningsområde;Terndrup;606;42;52;26;9;63;17;15;153;23;377;42;16;0;1441;23;1464;1755;
Afstemningsområde;Suldrup;528;67;93;39;16;70;21;35;189;39;555;46;22;0;1720;11;1731;2021;
Afstemningsområde;Nørager;479;62;94;30;19;56;26;44;195;40;620;41;24;0;1730;18;1748;2110;
Afstemningsområde;Haverslev;232;39;33;13;10;28;13;15;82;18;266;23;15;0;787;12;799;993;
Afstemningsområde;Øster Hornum;322;75;50;26;12;78;28;28;96;13;433;46;27;0;1234;12;1246;1410;
Afstemningsområde;Bælum;414;42;29;14;9;35;26;8;99;16;250;36;16;0;994;9;1003;1225;
Afstemningsområde;Ravnkilde;139;22;29;12;5;21;8;6;109;5;167;33;11;0;567;11;578;676;
Afstemningsområde;Blenstrup;387;29;22;23;8;38;19;10;107;14;232;42;20;0;951;7;958;1140;
Afstemningsområde;Veggerby;105;27;15;10;7;16;6;4;46;3;152;13;13;0;417;5;422;500;
Afstemningsområde;Assens;574;43;60;23;15;69;17;20;184;24;295;60;16;0;1400;15;1415;1764;
Afstemningsområde;Mariager;715;128;359;55;18;148;47;91;272;41;613;85;45;0;2617;29;2646;3175;
Afstemningsområde;Arden;909;118;93;37;16;107;48;26;225;38;594;94;35;0;2340;20;2360;2850;
Afstemningsområde;Valsgård;407;69;58;21;18;47;24;19;155;16;472;47;24;0;1377;11;1388;1656;
Afstemningsområde;Vebbestrup;399;39;43;38;11;57;33;11;206;31;444;54;22;0;1388;17;1405;1731;
Afstemningsområde;Hadsund;1594;228;181;56;33;161;60;34;462;61;1245;114;42;0;4271;41;4312;5279;
Afstemningsområde;Veddum-Skelund;273;21;23;11;3;26;28;4;75;11;149;36;6;0;666;6;672;841;
Afstemningsområde;Als;612;57;64;24;11;47;35;8;184;20;492;42;10;0;1606;24;1630;1994;
Afstemningsområde;Hørby;672;111;92;53;22;107;52;37;254;33;753;59;27;0;2272;18;2290;2631;
Afstemningsområde;Onsild;362;63;74;27;13;68;34;17;194;36;384;57;27;0;1356;14;1370;1634;
Afstemningsområde;Hobro;2278;393;337;138;47;333;116;102;576;96;1761;320;122;0;6619;59;6678;8190;
Afstemningsområde;Aabybro;1300;159;208;94;25;182;85;48;330;44;1412;80;69;0;4036;19;4055;4703;
Afstemningsområde;Biersted;507;48;38;35;7;49;17;16;146;21;333;32;13;0;1262;17;1279;1462;
Afstemningsområde;Nørhalne;403;41;49;30;10;54;33;15;120;13;263;22;16;0;1069;8;1077;1205;
Afstemningsområde;Vedsted;306;35;33;14;13;29;17;18;72;10;245;16;10;0;818;8;826;963;
Afstemningsområde;Gjøl;270;38;46;12;13;32;17;12;67;3;266;26;11;0;813;6;819;916;
Afstemningsområde;Ingstrup;106;9;16;18;6;30;4;11;61;10;123;13;10;0;417;7;424;516;
Afstemningsområde;V. Hjermitslev;129;10;12;9;1;15;10;7;57;3;94;3;3;0;353;3;356;429;
Afstemningsområde;Brovst;637;63;97;40;9;54;20;27;189;29;536;52;16;0;1769;18;1787;2268;
Afstemningsområde;Halvrimmen;290;27;35;27;13;33;19;8;98;8;273;18;15;0;864;12;876;1049;
Afstemningsområde;Arentsminde;142;9;14;7;3;8;10;4;55;5;117;4;9;0;387;9;396;501;
Afstemningsområde;Tranum;214;27;52;14;9;39;15;13;95;6;173;42;20;0;719;7;726;881;
Afstemningsområde;Skovsgård;352;28;23;32;14;36;12;29;122;19;266;30;16;0;979;9;988;1200;
Afstemningsområde;Fjerritslev;969;103;94;59;22;114;30;54;310;38;732;65;31;0;2621;26;2647;3320;
Afstemningsområde;Thorup;243;25;25;19;2;32;10;4;128;8;230;32;12;0;770;8;778;1008;
Afstemningsområde;Ørebro;218;12;20;13;7;33;8;16;78;9;194;17;8;0;633;4;637;784;
Afstemningsområde;Trekroner;219;22;21;19;4;31;15;16;83;7;261;19;16;0;733;2;735;912;
Afstemningsområde;Pandrup;786;55;67;82;15;72;23;42;210;34;569;62;34;0;2051;17;2068;2456;
Afstemningsområde;Kaas;731;29;33;102;9;61;24;10;242;69;277;59;17;0;1663;15;1678;2200;
Afstemningsområde;Hune;339;48;103;37;8;54;18;19;134;22;392;38;14;0;1226;4;1230;1382;
Afstemningsområde;Saltum;230;27;34;23;9;39;21;22;92;22;245;23;17;0;804;17;821;972;
Afstemningsområde;Gl. Lindholm Skole, Kulturhus;2861;544;312;130;71;590;211;62;636;169;1542;547;255;0;7930;103;8033;10088;
Afstemningsområde;Løvvanghallen;2591;367;196;126;53;374;132;60;641;143;1101;421;140;0;6345;61;6406;8236;
Afstemningsområde;Multihallen Ved Vadumhallen;720;75;75;28;8;69;32;60;187;18;521;65;32;0;1890;22;1912;2192;
Afstemningsområde;Sulsted Skolehal;1482;184;179;79;39;217;79;85;428;86;1325;167;58;0;4408;26;4434;5178;
Afstemningsområde;Vodskov Kultur & Idrætscenter;1627;218;198;95;25;306;67;53;396;83;1299;216;83;0;4666;38;4704;5502;
Afstemningsområde;Vesterkærets Skole;1091;200;107;47;41;241;101;26;177;65;487;299;108;0;2990;26;3016;3787;
Afstemningsområde;Haraldslund;1287;542;196;64;81;444;280;40;164;70;1078;538;313;0;5097;104;5201;6465;
Afstemningsområde;Aalborghallen;2032;1115;515;137;124;722;561;104;276;146;2074;784;548;0;9138;122;9260;11591;
Afstemningsområde;Kærbyskolen;1857;412;254;81;45;408;129;87;316;78;1064;386;159;0;5276;44;5320;6295;
Afstemningsområde;Hallen Ved Skalborggård;1227;184;156;65;39;196;77;50;262;60;770;136;58;0;3280;35;3315;3965;
Afstemningsområde;Kfum - Hallen;2114;811;716;139;61;607;221;111;407;83;2842;420;180;0;8712;44;8756;9777;
Afstemningsområde;Frejlev Skoles Idrætshal;1099;191;171;85;24;176;83;44;292;51;1160;122;68;0;3566;28;3594;4040;
Afstemningsområde;Svenstruphallen;1620;267;248;98;42;275;82;44;397;65;1208;160;101;0;4607;46;4653;5409;
Afstemningsområde;Sønderbroskolen;2322;934;334;125;127;659;460;95;397;135;1826;617;447;0;8478;122;8600;10549;
Afstemningsområde;Gigantium;2683;697;304;121;84;580;232;136;463;140;1443;569;289;0;7741;108;7849;9768;
Afstemningsområde;Vejgaardhallen;1543;486;168;83;46;378;155;85;286;84;846;346;200;0;4706;60;4766;5773;
Afstemningsområde;Vejgaard Østre Skole;1865;358;182;76;52;434;87;87;324;104;879;386;160;0;4994;52;5046;6012;
Afstemningsområde;Mellervangskolens Idrætshal;1014;188;104;40;19;166;50;78;240;46;418;203;76;0;2642;16;2658;3111;
Afstemningsområde;Klaruphallen;1156;169;162;67;25;176;64;24;253;42;821;94;44;0;3097;20;3117;3457;
Afstemningsområde;Gug Skole;1902;384;267;85;37;339;100;114;401;69;1543;209;123;0;5573;42;5615;6294;
Afstemningsområde;Gistrup Skoles Idrætshal;1216;295;180;46;32;311;66;65;259;73;988;241;92;0;3864;26;3890;4357;
Afstemningsområde;Ferslev Skolehal;778;86;89;44;15;98;34;19;231;30;569;49;35;0;2077;31;2108;2415;
Afstemningsområde;Tornhøjskolen, Hallen;1733;315;139;84;48;298;73;63;300;100;550;403;131;0;4237;59;4296;5684;
Afstemningsområde;Vester Hassing Hallen;1409;153;141;81;29;193;60;25;340;48;966;121;42;0;3608;42;3650;4327;
Afstemningsområde;Hals Skole;1187;92;101;86;26;111;37;33;387;53;873;130;32;0;3148;21;3169;3806;
Afstemningsområde;Ulstedhallen;317;18;22;28;9;28;6;10;100;24;247;28;8;0;845;10;855;1075;
Afstemningsområde;Nibe Hallen;1397;246;198;71;37;202;85;44;316;55;1391;158;78;0;4278;35;4313;4971;
Afstemningsområde;Farstruphallen;397;55;36;40;16;75;15;24;135;36;410;60;34;0;1333;18;1351;1571;
Afstemningsområde;Idrætscentret Kongerslev;512;33;37;30;13;36;16;11;166;41;337;39;10;0;1281;13;1294;1609;
Afstemningsområde;Mou Hotel;679;44;47;30;14;83;12;12;199;33;410;78;34;0;1675;9;1684;1999;
Afstemningsområde;Båndby - Hallen;1293;137;96;48;16;160;50;35;276;63;819;106;44;0;3143;32;3175;3808;
Afstemningsområde;Horne;336;33;98;37;9;41;10;31;152;32;351;25;10;0;1165;17;1182;1396;
Afstemningsområde;Hirtshals;1201;61;185;102;22;133;32;63;484;98;801;74;31;0;3287;28;3315;4303;
Afstemningsområde;Hjørring - Centrum;1432;232;283;68;37;270;59;55;286;90;809;249;86;0;3956;54;4010;5200;
Afstemningsområde;Tornby;327;59;68;34;11;66;16;16;126;14;385;43;18;0;1183;13;1196;1389;
Afstemningsområde;Bindslev;304;28;50;42;7;35;5;20;129;19;366;40;10;0;1055;10;1065;1268;
Afstemningsområde;Tversted;261;52;50;30;7;49;16;11;100;17;377;48;16;0;1034;6;1040;1273;
Afstemningsområde;Taars;578;66;106;42;9;73;17;69;250;26;719;57;19;0;2031;27;2058;2562;
Afstemningsområde;Vrejlev-Hæstrup;291;27;60;28;11;41;6;22;117;29;415;35;12;0;1094;9;1103;1373;
Afstemningsområde;Bjergby-Mygdal;294;43;58;38;9;52;17;19;93;18;419;46;18;0;1124;14;1138;1285;
Afstemningsområde;Skallerup;294;40;69;20;4;53;33;16;107;9;358;73;32;0;1108;11;1119;1279;
Afstemningsområde;Hjørring - Nord;1598;150;308;67;26;208;60;36;364;67;1201;142;49;0;4276;45;4321;4984;
Afstemningsområde;Hjørring - Syd;1499;177;306;92;33;237;40;44;347;82;1184;172;71;0;4284;43;4327;5124;
Afstemningsområde;Hjørring - Vest;1425;210;313;67;21;234;65;74;319;53;1028;162;66;0;4037;35;4072;4750;
Afstemningsområde;Vrå;831;116;129;89;11;150;33;62;255;53;691;115;40;0;2575;26;2601;3162;
Afstemningsområde;Hundelev;200;28;59;26;6;35;14;5;75;13;222;28;8;0;719;10;729;841;
Afstemningsområde;Løkken;582;68;140;50;14;93;22;29;191;33;587;65;17;0;1891;23;1914;2266;
Afstemningsområde;Sindal;778;61;105;47;13;89;21;34;239;36;702;62;28;0;2215;27;2242;2746;
Afstemningsområde;Astrup;207;41;23;25;11;36;12;16;76;17;267;32;7;0;770;8;778;897;
Afstemningsområde;Tolne;204;25;35;31;8;37;12;15;114;20;226;38;13;0;778;4;782;939;
Afstemningsområde;Ugilt;218;19;40;17;12;15;5;4;116;11;216;15;10;0;698;3;701;804;
Afstemningsområde;Lendum;287;22;33;24;8;19;9;24;138;19;285;29;11;0;908;7;915;1150;
